frame,time,mode,selected_model,action_throttle,action_steer,carla_pos_x,carla_pos_y,carla_pos_z,carla_yaw_deg,carla_rot_0,carla_rot_1,carla_rot_2,carla_rot_3,speed_mps,model_pos_x,model_pos_y,model_pos_z,model_rot_0,model_rot_1,model_rot_2,model_rot_3,pred_delta_0,pred_delta_1,pred_delta_2,pred_delta_3
54,2.7,FORWARD,forward,0.07999999821186066,0.0,-64.47245788574219,24.479652404785156,0.016817854717373848,4.694827079772949,3.3560474548721686e-05,1.2484321814554278e-05,0.04095863178372383,0.9991608262062073,0.31714744223675856,-24.481046676635742,0.021238230168819427,64.45609283447266,0.0,0.0,0.049383584409952164,0.9987798929214478,0.03590323403477669,-0.0004335524281486869,0.0003186211106367409,-0.08516380935907364
55,2.75,FORWARD,forward,0.07999999821186066,0.0,-64.4350357055664,24.483036041259766,0.01698070578277111,4.967796802520752,2.460563337081112e-05,7.462751909770304e-06,0.043338626623153687,0.9990604519844055,0.40792436715501185,-24.484477996826172,0.02137245237827301,64.42069244384766,0.0,0.0,0.04775841161608696,0.9988589286804199,0.03556547313928604,-7.782901229802519e-05,0.0001342220784863457,-0.1864510476589203
56,2.8000000000000003,FORWARD,forward,0.07999999821186066,0.0,-64.401611328125,24.48629379272461,0.017057150602340698,5.207647800445557,2.2472895579994656e-05,8.441481895715697e-07,0.04542965814471245,0.9989675283432007,0.30922821144712725,-24.48808479309082,0.021304482594132423,64.3856201171875,0.0,0.0,0.049312032759189606,0.9987834095954895,0.03525412827730179,0.00024373253108933568,-6.796936213504523e-05,0.17824186384677887
57,2.85,FORWARD,forward,0.07999999821186066,0.0,-64.36711883544922,24.48974609375,0.017060469835996628,5.434857368469238,1.5292835087166168e-05,-3.416243998799473e-06,0.04741029813885689,0.9988754987716675,0.3791580946396765,-24.49124526977539,0.021190334111452103,64.35408020019531,0.0,0.0,0.05108795687556267,0.9986941814422607,0.031700070947408676,3.7577556213364005e-05,-0.00011414878827054054,0.2037629783153534
58,2.9000000000000004,FORWARD,forward,0.07999999821186066,0.0,-64.34095764160156,24.492433547973633,0.01707305945456028,5.632081985473633,1.462576437916141e-05,-5.965056061540963e-06,0.049129411578178406,0.9987924695014954,0.23788483968858826,-24.493871688842773,0.021211950108408928,64.32813262939453,0.0,0.0,0.052321355789899826,0.9986303448677063,0.026077408343553543,-3.5302742617204785e-05,2.1616924641421065e-05,0.14152556657791138
59,2.95,FORWARD,forward,0.07999999821186066,0.0,-64.31232452392578,24.495418548583984,0.017079200595617294,5.811578273773193,8.734745279070921e-06,-6.635744284722023e-06,0.050693854689598083,0.99871426820755,0.32074229186447545,-24.496606826782227,0.021219855174422264,64.30176544189453,0.0,0.0,0.05359863489866257,0.9985625743865967,0.026510970667004585,-3.490742528811097e-05,7.904189260443673e-06,0.1465703547000885
60,3.0,FORWARD,forward,0.07999999821186066,0.0,-64.28751373291016,24.498065948486328,0.01708786003291607,5.980234146118164,9.789555406314321e-06,-6.8354383984114975e-06,0.05216370150446892,0.9986385703086853,0.22414942748391573,-24.499431610107422,0.021223148331046104,64.27519989013672,0.0,0.0,0.05489303171634674,0.9984922409057617,0.026713157072663307,-3.581634518923238e-05,3.2936322895693593e-06,0.1485455334186554
61,3.0500000000000003,FORWARD,forward,0.07999999821186066,0.0,-64.25908660888672,24.50115394592285,0.017089195549488068,6.1417412757873535,5.2806058192800265e-06,-6.156561539683025e-06,0.053571153432130814,0.9985640645027161,0.3186122029345108,-24.502328872680664,0.0212237685918808,64.24860382080078,0.0,0.0,0.056184276938438416,0.9984204173088074,0.02675551176071167,-3.6822661058977246e-05,6.197833499754779e-07,0.1481943428516388
62,3.1,FORWARD,forward,0.07999999821186066,0.0,-64.23436737060547,24.5039005279541,0.01709415391087532,6.298409938812256,6.91552759235492e-06,-5.5896998674143106e-06,0.05493632331490517,0.9984898567199707,0.22338167887232077,-24.505285263061523,0.021224532276391983,64.22208404541016,0.0,0.0,0.05747121199965477,0.9983471632003784,0.026684461161494255,-3.775550430873409e-05,7.627613740623929e-07,0.14771045744419098
63,3.1500000000000004,FORWARD,forward,0.07999999821186066,0.0,-64.20611572265625,24.50710105895996,0.017094077542424202,6.451693058013916,2.669349896677886e-06,-4.540584995993413e-06,0.05627190321683884,0.998415470123291,0.3170505374288506,-24.5082950592041,0.021227926015853882,64.1957015991211,0.0,0.0,0.05875158682465553,0.9982726573944092,0.02655189111828804,-3.7912810512352735e-05,3.393104634596966e-06,0.14696833491325378
