time_step,true_pos_x,pred_pos_x,error
367,1.52,1.4485941,0.07140589
368,1.52,1.4542673,0.06573272
369,1.54,1.453944,0.086055994
370,1.55,1.4616688,0.0883311
371,1.56,1.468919,0.091080904
372,1.57,1.4745345,0.09546554
373,1.59,1.480996,0.10900402
374,1.6,1.489829,0.11017108
375,1.61,1.4984052,0.111594796
376,1.62,1.5087718,0.11122823
377,1.63,1.5181823,0.11181772
378,1.64,1.5278821,0.11211789
379,1.65,1.5370779,0.11292207
380,1.66,1.5470847,0.11291528
381,1.67,1.5577117,0.11228824
382,1.68,1.5689132,0.111086726
383,1.69,1.5841624,0.1058377
384,1.7,1.592463,0.10753703
385,1.7,1.6021531,0.097846985
386,1.71,1.6118923,0.098107696
387,1.72,1.6218412,0.09815884
388,1.72,1.632225,0.08777499
389,1.73,1.6440524,0.08594763
390,1.73,1.652556,0.07744408
391,1.74,1.6588832,0.081116796
392,1.74,1.665604,0.074396014
393,1.74,1.672144,0.067855954
394,1.74,1.6762695,0.06373048
395,1.75,1.6847048,0.06529522
396,1.75,1.6901816,0.059818387
397,1.75,1.6975152,0.05248475
398,1.75,1.7067419,0.04325807
399,1.74,1.7153947,0.024605274
400,1.74,1.720381,0.019618988
401,1.74,1.7227396,0.017260432
402,1.73,1.7234488,0.0065512657
403,1.73,1.7219174,0.008082628
404,1.72,1.7201989,-0.0001988411
405,1.71,1.7175136,-0.007513523
406,1.71,1.7139115,-0.003911495
407,1.7,1.7108785,-0.010878444
408,1.7,1.707327,-0.0073269606
409,1.69,1.7043606,-0.014360547
410,1.69,1.7009249,-0.010924816
411,1.68,1.6982311,-0.018231153
412,1.68,1.6950301,-0.015030146
413,1.68,1.6923702,-0.012370229
414,1.67,1.6906319,-0.02063191
415,1.66,1.6882372,-0.028237224
416,1.66,1.685056,-0.025056005
417,1.66,1.6825076,-0.022507668
418,1.65,1.6806575,-0.03065753
419,1.65,1.6777204,-0.027720451
420,1.64,1.6748892,-0.03488922
421,1.64,1.6709229,-0.03092289
422,1.63,1.6671221,-0.03712213
423,1.63,1.6615468,-0.03154683
424,1.63,1.6563544,-0.026354432
425,1.63,1.6526121,-0.022612095
426,1.63,1.6502321,-0.020232081
427,1.63,1.649028,-0.019027948
428,1.63,1.6486772,-0.018677235
429,1.63,1.6486552,-0.01865518
430,1.63,1.648858,-0.018857956
431,1.63,1.6379344,-0.007934451
432,1.63,1.6187478,0.011252165
433,1.63,1.6021768,0.02782321
434,1.64,1.5903215,0.049678445
435,1.64,1.5828924,0.057107568
436,1.64,1.5782851,0.061714888
437,1.65,1.5755221,0.07447791
438,1.65,1.5755128,0.07448721
439,1.65,1.5766855,0.07331443
440,1.65,1.5814326,0.068567395
441,1.64,1.5828626,0.05713737
442,1.64,1.5809004,0.059099555
443,1.64,1.5781723,0.06182766
444,1.63,1.5739641,0.056035876
445,1.63,1.5730932,0.05690682
446,1.62,1.5694553,0.05054474
447,1.61,1.5661846,0.043815374
448,1.61,1.5623631,0.047636867
449,1.6,1.5586687,0.04133129
450,1.59,1.5539186,0.036081433
451,1.58,1.5488673,0.031132698
452,1.57,1.5420343,0.027965784
453,1.56,1.5339508,0.026049137
454,1.55,1.5251389,0.024861097
455,1.54,1.5159434,0.024056554
456,1.53,1.5064539,0.0235461
457,1.51,1.4983196,0.011680365
458,1.5,1.4896898,0.010310173
459,1.48,1.4801824,-0.00018239021
460,1.47,1.4683169,0.001683116
461,1.45,1.4563774,-0.0063773394
462,1.44,1.4416869,-0.0016868114
463,1.42,1.4271839,-0.0071839094
464,1.39,1.412133,-0.022132993
465,1.38,1.3947479,-0.014747858
466,1.35,1.3778317,-0.027831674
467,1.34,1.3592653,-0.019265294
468,1.32,1.3420842,-0.022084117
469,1.3,1.3246238,-0.02462387
470,1.29,1.3045604,-0.014560461
471,1.27,1.2843599,-0.014359951
472,1.25,1.2644855,-0.014485478
473,1.23,1.2449439,-0.014943838
474,1.2,1.2251203,-0.025120258
475,1.19,1.2033579,-0.013357878
476,1.17,1.1827213,-0.0127213
477,1.16,1.1622641,-0.002264142
478,1.14,1.1433458,-0.0033458471
479,1.12,1.1244906,-0.004490614
480,1.1,1.1047895,-0.0047894716
481,1.08,1.0838622,-0.0038621426
482,1.07,1.0619038,0.008096218
483,1.05,1.0415633,0.00843668
484,1.03,1.0219536,0.008046389
485,1.01,1.0023474,0.0076526403
486,1.0,0.98258185,0.017418146
487,0.98,0.9643537,0.015646338
488,0.96,0.94621515,0.013784826
489,0.93,0.9275389,0.0024611354
490,0.89,0.9061074,-0.01610744
491,0.86,0.8823429,-0.02234286
492,0.84,0.8586289,-0.018628955
493,0.82,0.8356315,-0.015631497
494,0.8,0.812926,-0.0129259825
495,0.78,0.7904929,-0.010492921
496,0.75,0.7680261,-0.018026114
497,0.72,0.74437135,-0.024371326
498,0.7,0.7195689,-0.01956892
499,0.68,0.69548583,-0.015485823
500,0.64,0.6724472,-0.03244722
501,0.61,0.6474044,-0.03740436
502,0.57,0.62160385,-0.051603854
503,0.55,0.5934577,-0.043457687
504,0.51,0.56599647,-0.055996478
505,0.47,0.53711385,-0.06711385
506,0.45,0.506212,-0.056212008
507,0.42,0.47666165,-0.056661665
508,0.39,0.44819114,-0.05819115
509,0.36,0.42024732,-0.060247302
510,0.31,0.39259917,-0.08259916
511,0.28,0.361351,-0.08135101
512,0.18,0.32944882,-0.14944881
513,-0.35,-0.33735108,-0.01264891
514,-0.38,-0.35258704,-0.027412951
515,-0.4,-0.38107777,-0.01892224
516,-0.42,-0.4074251,-0.012574881
517,-0.43,-0.42342854,-0.0065714717
518,-0.45,-0.44000906,-0.009990931
519,-0.5,-0.46032298,-0.039677024
520,-0.75,-0.7061144,-0.04388559
521,-0.76,-0.7131784,-0.046821594
522,-0.76,-0.72024846,-0.03975153
523,-0.76,-0.7263367,-0.033663273
524,-0.76,-0.7318629,-0.028137088
525,-0.76,-0.73663986,-0.023360133
526,-0.77,-0.7406788,-0.029321194
527,-0.76,-0.7458838,-0.014116168
528,-0.76,-0.74965,-0.010349989
529,-0.76,-0.7526088,-0.0073912144
530,-0.76,-0.7553036,-0.004696369
531,-0.75,-0.7578193,0.007819295
532,-0.75,-0.7586862,0.008686185
533,-0.75,-0.76289535,0.012895346
534,-0.74,-0.77227044,0.03227043
535,-0.73,-0.7755617,0.04556167
536,-0.72,-0.7721015,0.052101493
537,-0.71,-0.76583445,0.055834472
538,-0.69,-0.7583666,0.06836659
539,-0.68,-0.758633,0.07863301
540,-0.67,-0.7583213,0.08832127
541,-0.67,-0.7570406,0.0870406
542,-0.66,-0.7537358,0.093735754
543,-0.66,-0.7447319,0.08473188
544,-0.66,-0.73553145,0.07553142
545,-0.66,-0.725067,0.06506699
546,-0.67,-0.7155205,0.045520484
547,-0.67,-0.7102535,0.04025346
548,-0.68,-0.70747817,0.027478158
549,-0.69,-0.70668316,0.016683161
550,-0.7,-0.70079815,0.0007981658
551,-0.7,-0.6954709,-0.004529059
552,-0.71,-0.6891005,-0.020899475
553,-0.72,-0.6866975,-0.033302546
554,-0.73,-0.6883353,-0.04166472
555,-0.74,-0.69289064,-0.047109365
556,-0.75,-0.698408,-0.051591992
557,-0.75,-0.70527244,-0.044727564
558,-0.76,-0.7130954,-0.046904564
559,-0.76,-0.7265824,-0.033417583
560,-0.76,-0.74099946,-0.01900053
561,-0.76,-0.7531129,-0.0068870783
562,-0.75,-0.7661804,0.016180396
563,-0.75,-0.7711961,0.021196127
564,-0.75,-0.774073,0.024073005
565,-0.74,-0.77624166,0.03624165
566,-0.74,-0.7762276,0.036227584
567,-0.73,-0.7754446,0.045444608
568,-0.73,-0.7727443,0.04274428
569,-0.73,-0.7697294,0.039729357
570,-0.72,-0.76700795,0.04700792
571,-0.72,-0.7630328,0.043032765
572,-0.72,-0.759179,0.039178967
573,-0.71,-0.7558954,0.045895398
574,-0.71,-0.7516129,0.041612923
575,-0.71,-0.74759233,0.03759235
576,-0.7,-0.7441982,0.044198215
577,-0.7,-0.7377763,0.03777629
578,-0.69,-0.7275034,0.03750342
579,-0.69,-0.7158865,0.025886476
580,-0.69,-0.71173286,0.021732867
581,-0.69,-0.70221233,0.012212336
582,-0.68,-0.69418335,0.014183342
583,-0.68,-0.69142187,0.011421859
584,-0.68,-0.68513334,0.005133331
585,-0.67,-0.67569137,0.0056913495
586,-0.67,-0.6644391,-0.0055609345
587,-0.67,-0.6538322,-0.01616782
588,-0.66,-0.64453924,-0.015460789
589,-0.66,-0.635373,-0.02462703
590,-0.65,-0.627429,-0.022570968
591,-0.64,-0.6194501,-0.020549893
592,-0.64,-0.6111071,-0.028892875
593,-0.62,-0.60373235,-0.016267657
594,-0.61,-0.5956105,-0.014389515
595,-0.6,-0.58658826,-0.01341176
596,-0.58,-0.57715786,-0.0028421283
597,-0.57,-0.56637967,-0.0036203265
598,-0.56,-0.55564,-0.00436002
599,-0.54,-0.5448805,0.004880488
600,-0.53,-0.53279114,0.0027911663
601,-0.5,-0.5207685,0.020768523
602,-0.47,-0.505031,0.03503099
603,-0.45,-0.48521298,0.035212994
604,-0.42,-0.46426976,0.04426977
605,-0.4,-0.44380814,0.043808132
606,-0.38,-0.4187925,0.03879249
607,-0.38,-0.39493102,0.014931023
608,-0.38,-0.37711972,-0.0028802752
609,-0.3,-0.3661145,0.066114485
610,-0.28,-0.34771073,0.06771073
611,-0.25,-0.32570457,0.075704575
612,-0.23,-0.30033123,0.07033123
613,-0.2,-0.27638662,0.076386616
614,-0.17,-0.25298083,0.08298083
615,-0.15,-0.2293557,0.07935569
616,-0.12,-0.20691949,0.086919494
617,-0.09,-0.18383479,0.09383479
618,-0.05,-0.15673721,0.10673721
619,-0.02,-0.13080168,0.11080168
620,0.0,-0.1027627,0.1027627
621,0.03,-0.07221246,0.10221246
622,0.06,-0.029508173,0.089508176
623,0.08,0.028577983,0.051422015
624,0.1,0.07743198,0.022568025
625,0.13,0.11494702,0.015052974
626,0.16,0.14397085,0.01602915
627,0.2,0.17171603,0.028283969
628,0.23,0.20173931,0.028260693
629,0.25,0.23283146,0.017168537
630,0.28,0.26416975,0.015830249
631,0.3,0.29545552,0.0045444965
632,0.33,0.32546112,0.0045388937
633,0.36,0.32052892,0.03947109
634,0.39,0.3259645,0.064035475
635,0.41,0.3444404,0.065559596
636,0.45,0.36976704,0.08023295
