time_step,true_yaw_sin,pred_yaw_sin,error
538,-0.048722554,-0.011352135,-0.03737042
539,-0.052558832,-0.033536345,-0.019022487
540,-0.062378287,-0.053299904,-0.009078383
541,-0.06880209,-0.07145797,0.0026558787
542,-0.079745226,-0.083099514,0.0033542886
543,-0.086629614,-0.08869529,0.0020656735
544,-0.09950372,-0.092178084,-0.0073256344
545,-0.11043153,-0.09879912,-0.011632413
546,-0.11684125,-0.1069619,-0.009879351
547,-0.11684125,-0.11361419,-0.0032270625
548,-0.11043153,-0.11545976,0.005028233
549,-0.11684125,-0.1102594,-0.0065818503
550,-0.11043153,-0.105900005,-0.004531525
551,-0.11043153,-0.09797437,-0.012457162
552,-0.09950372,-0.091611914,-0.007891804
553,-0.086629614,-0.08278245,-0.003847167
554,-0.07387169,-0.07183925,-0.0020324364
555,-0.06651901,-0.060205564,-0.006313443
556,-0.062378287,-0.050811246,-0.011567041
557,-0.057049792,-0.044826597,-0.012223195
558,-0.052558832,-0.04063462,-0.011924211
559,-0.048722554,-0.038302068,-0.010420486
560,-0.0464614,-0.03705865,-0.009402748
561,-0.015843688,-0.03635039,0.020506704
562,-0.0464614,-0.021998983,-0.024462417
563,-0.04756515,-0.027028527,-0.020536624
564,-0.04756515,-0.034047887,-0.013517264
565,-0.048722554,-0.03877168,-0.0099508725
566,-0.048722554,-0.041968353,-0.006754201
567,-0.048722554,-0.04361882,-0.0051037334
568,-0.048722554,-0.044369433,-0.004353121
569,-0.048722554,-0.04471042,-0.004012134
570,-0.048722554,-0.04489576,-0.0038267933
571,-0.048722554,-0.04506038,-0.0036621727
572,-0.048722554,-0.045247667,-0.0034748875
573,-0.048722554,-0.045448348,-0.003274206
574,-0.048722554,-0.04570874,-0.0030138157
575,-0.048722554,-0.045961477,-0.0027610771
576,-0.048722554,-0.046187818,-0.002534736
577,-0.08036109,-0.045916326,-0.034444764
578,-0.08036109,-0.06156139,-0.0187997
579,-0.048722554,-0.07206456,0.02334201
580,-0.08036109,-0.061139576,-0.019221514
581,-0.0769856,-0.0669331,-0.010052495
582,-0.04540766,-0.070457034,0.025049374
583,-0.043437224,-0.056989416,0.013552193
584,-0.042514715,-0.04550597,0.0029912554
585,-0.04078237,-0.038466148,-0.0023162216
586,-0.038433123,-0.034397036,-0.0040360875
587,-0.03701166,-0.0315667,-0.005444959
588,-0.03569153,-0.029681684,-0.006009845
589,-0.033878844,-0.02842686,-0.0054519847
590,-0.03331483,-0.027122015,-0.0061928164
591,-0.03173005,-0.026402198,-0.0053278506
592,-0.030754676,-0.025538156,-0.0052165203
593,-0.02897334,-0.024695184,-0.004278155
594,-0.028157845,-0.023623984,-0.004533861
595,-0.027386984,-0.023033496,-0.004353488
596,-0.027017161,-0.022632679,-0.0043844823
597,-0.026306681,-0.022623107,-0.0036835745
598,-0.025632601,-0.022574537,-0.0030580647
599,-0.025308346,-0.022286087,-0.003022259
600,-0.02499219,-0.022168608,-0.002823582
601,-0.023802778,-0.022127159,-0.0016756188
602,-0.023249527,-0.021481622,-0.0017679054
603,-0.022982433,-0.0208863,-0.0020961333
604,-0.0018145131,-0.020688483,0.018873971
605,-0.021733996,-0.010771755,-0.01096224
606,-0.021500405,-0.013255995,-0.00824441
607,-0.021500405,-0.016596815,-0.0049035903
608,-0.021500405,-0.018940436,-0.0025599692
609,-0.00039988,-0.020385882,0.019986002
610,-0.0002,-0.010997943,0.010797943
611,1.2246469e-16,-0.0046219258,0.0046219258
612,1.2246469e-16,-0.0017893128,0.0017893128
613,-1.2246469e-16,-0.0012559099,0.0012559099
614,1.2246469e-16,-0.0017762259,0.0017762259
615,-1.2246469e-16,-0.0026595239,0.0026595239
