time_step,true_yaw_cos,pred_yaw_cos,error
328,-0.99989814,-1.0105802,0.010682046
329,-0.99988353,-1.0092466,0.009363055
330,-0.9998745,-1.0078309,0.007956386
331,-0.9998559,-1.0063275,0.006471634
332,-0.9998444,-1.0040642,0.00421983
333,-0.99982035,-1.0016638,0.0018434525
334,-0.99980557,-0.9988464,-0.00095915794
335,-0.99979156,-0.9959898,-0.003801763
336,-0.9997739,-0.9932327,-0.0065411925
337,-0.99971217,-0.99051,-0.009202182
338,-0.9996601,-0.98655045,-0.013109624
339,-0.99962807,-0.98147607,-0.018151999
340,-0.99955523,-0.9763957,-0.023159504
341,-0.99955523,-0.97050345,-0.02905178
342,-0.9994626,-0.9657128,-0.03374982
343,-0.99940497,-0.9601934,-0.03921157
344,-0.9992674,-0.95454633,-0.044721067
345,-0.9990836,-0.9478276,-0.051256
346,-0.9988311,-0.9393884,-0.0594427
347,-0.9984727,-0.9289515,-0.06952119
348,-0.9982318,-0.9158317,-0.08240014
349,-0.9975733,-0.9027256,-0.09484774
350,-0.9975733,-0.8863826,-0.11119074
351,-0.99651027,-0.8738098,-0.12270045
352,-0.9946419,-0.8566766,-0.13796532
353,-0.9946419,-0.8315189,-0.16312301
354,-0.9909276,-0.8122065,-0.17872107
355,-0.9819469,-0.779467,-0.2024799
356,-0.9509021,-0.71770334,-0.23319876
357,-0.89755434,-0.580714,-0.31684035
358,-0.71210384,-0.3782394,-0.33386445
359,0.70207417,-0.075085536,0.7771597
360,0.8912557,0.4103663,0.48088938
361,0.94641674,0.7894876,0.15692914
362,0.97916514,1.0104403,-0.031275213
363,0.98892164,1.0866946,-0.097772956
364,0.98892164,1.083672,-0.094750404
365,1.0,1.0553596,-0.055359602
366,0.98892164,1.0138338,-0.024912119
367,0.98892164,0.99910104,-0.0101794
368,0.98892164,0.98598516,0.0029364824
369,0.98892164,0.9738792,0.015042424
370,0.98892164,0.9798287,0.009092927
371,0.98892164,0.97943103,0.009490609
372,0.98892164,0.98262084,0.006300807
373,0.98892164,0.9902109,-0.0012892485
374,0.99307555,0.9976753,-0.00459975
375,0.99307555,1.0021373,-0.009061754
376,0.9952261,1.0043579,-0.009131849
377,0.9952261,1.0049464,-0.009720266
378,0.9964855,1.006274,-0.009788513
379,0.99692434,1.0062659,-0.009341538
380,0.99758154,1.0056763,-0.008094728
381,0.99803865,1.0042504,-0.0062117577
382,0.9950372,1.002585,-0.0075478554
383,0.9983702,1.0065086,-0.008138418
384,0.9986187,1.0038571,-0.005238414
385,0.99871784,1.0011522,-0.0024343133
386,0.9988876,0.9999763,-0.0010886788
387,0.9990227,0.9996505,-0.0006277561
388,0.9974587,0.9997653,-0.0023065805
389,0.99778515,1.0042936,-0.00650841
390,0.9980526,1.007395,-0.009342432
391,0.99816847,1.0091289,-0.01096046
392,0.99837136,1.010256,-0.011884689
393,0.99979156,1.011056,-0.011264384
394,0.99854225,1.0057075,-0.007165253
395,0.9998444,1.0084352,-0.008590877
396,0.9998559,1.005449,-0.0055931807
397,0.99988353,1.0029904,-0.0031068325
398,0.99989814,1.0007715,-0.00087338686
399,0.9999054,0.99956155,0.0003438592
400,0.9999054,0.99980867,9.673834e-05
401,0.9999054,1.0008126,-0.0009072423
402,0.99989814,1.0021999,-0.0023017526
403,0.9999054,1.0034384,-0.003532946
404,0.9999054,1.0045902,-0.0046847463
405,0.99989814,1.0056164,-0.005718291
406,0.99989814,1.0059124,-0.0060142875
407,0.99989814,1.0058541,-0.005955994
408,0.99989814,1.0057763,-0.0058781505
409,0.99989814,1.0057123,-0.005814135
410,0.99989814,1.005653,-0.005754888
411,0.9998903,1.0054141,-0.005523801
412,0.99988353,1.0046767,-0.004793167
413,0.99988353,1.0036552,-0.0037716627
414,0.99988353,1.0024571,-0.0025736094
415,0.9998745,1.0014527,-0.0015782118
416,0.9998745,0.9996382,0.00023627281
417,0.9998559,0.99785745,0.0019984245
418,0.9998559,0.9959698,0.0038861036
419,0.9998444,0.9946698,0.0051745772
420,0.99982035,0.993551,0.0062693357
421,0.99980557,0.9923388,0.007466793
422,0.9997739,0.9907433,0.00903064
423,0.9997739,0.9899007,0.009873211
424,0.99975455,0.9884242,0.011330366
425,0.99975455,0.98596966,0.013784885
426,0.99975455,0.98327124,0.016483307
427,0.99973565,0.98049045,0.019245207
428,0.99973565,0.9776157,0.02211994
429,0.99973565,0.97498965,0.024746
430,0.99973565,0.97252846,0.027207196
431,0.99973565,0.96293306,0.03680259
432,0.99973565,0.94929254,0.050443113
433,0.99971217,0.9418901,0.05782205
434,0.99973565,0.94256616,0.057169497
435,0.9997739,0.9477098,0.05206412
436,0.99980557,0.95317435,0.046631217
437,0.9998444,0.95702195,0.04282242
438,0.9998559,0.9592836,0.040572286
439,0.99905616,0.9602852,0.038770974
440,0.99909586,0.9644313,0.03466457
441,0.99916804,0.9672841,0.031883955
442,0.99923193,0.96875715,0.030474782
443,0.99993694,0.9698336,0.030103326
444,0.9993395,0.9673624,0.031977117
445,0.9999521,0.9688792,0.031072855
446,0.99995774,0.9676174,0.032340348
447,0.9999637,0.9665375,0.033426225
448,0.999968,0.9662427,0.03372532
449,0.99997044,0.96658695,0.03338349
450,0.999896,0.9672018,0.03269416
451,0.9999119,0.9685041,0.031407833
452,0.9999191,0.96967304,0.030246079
453,0.9999292,0.9706124,0.029316783
454,0.99993527,0.9714649,0.028470397
455,0.9999866,0.9722202,0.027766407
456,0.9999884,0.97203887,0.027949512
457,0.9999895,0.9709245,0.029065013
458,0.9999906,0.968629,0.03136158
459,0.9999906,0.96623755,0.033753037
460,0.9999623,0.96411073,0.03585154
461,0.9999906,0.9621314,0.0378592
462,0.9999906,0.960605,0.039385557
463,0.9999906,0.9594774,0.040513158
464,0.9999906,0.95831716,0.04167342
465,0.9999906,0.9571589,0.04283166
466,0.9999906,0.9558954,0.04409516
467,0.9999623,0.95436704,0.04559523
468,0.99967146,0.9528115,0.04685998
469,0.999551,0.9536115,0.045939505
470,0.999551,0.9546205,0.044930518
471,0.99956757,0.9554182,0.04414934
472,0.99958354,0.9561186,0.04346496
473,0.9996095,0.9566592,0.042950273
474,0.9996375,0.95741427,0.042223215
475,0.9996375,0.9584564,0.041181087
476,0.9996507,0.9591608,0.040489912
477,0.99966353,0.9598938,0.03976971
478,0.9996759,0.96062195,0.039053977
479,0.99968785,0.9614643,0.038223565
480,0.99971724,0.9626869,0.03703034
481,0.9997378,0.9646001,0.035137713
482,0.9997476,0.967085,0.03266257
483,0.9997662,0.96930003,0.03046614
484,0.9997837,0.97120476,0.028578937
485,0.9998002,0.9729271,0.026873112
486,0.9998081,0.9746438,0.025164247
487,0.9998231,0.9761145,0.023708582
488,0.99983734,0.97740006,0.022437274
489,0.99986345,0.97872746,0.021135986
490,0.99998766,0.98046255,0.01952511
491,0.999983,0.97737336,0.022609651
492,0.9999775,0.9741485,0.025829017
493,0.9999745,0.97229385,0.027680635
494,0.9999745,0.97136617,0.028608322
495,0.9999699,0.97070694,0.02926296
496,0.9999662,0.9704609,0.029505312
497,0.9999623,0.9702536,0.029708683
498,0.99995804,0.9700693,0.02988875
499,0.9999535,0.96972704,0.030226469
500,0.99994636,0.96944463,0.030501723
501,0.99994636,0.9691889,0.030757427
502,0.999941,0.9685204,0.03142059
503,0.99993527,0.96779037,0.032144904
504,0.9999292,0.9671469,0.032782316
505,0.9999259,0.9665203,0.033405602
506,0.9999191,0.9655225,0.03439659
507,0.9999191,0.9644842,0.0354349
508,0.9999119,0.96331024,0.036601663
509,0.99990416,0.9621525,0.037751675
510,0.99989104,0.9610007,0.03889036
511,0.9998819,0.9598013,0.040080607
512,0.999831,0.95832455,0.04150647
513,0.9953598,0.9699017,0.025458097
514,0.9841634,0.9728179,0.011345506
515,0.9792741,0.9459871,0.03328699
516,0.9883717,0.9099438,0.07842785
517,0.9863081,0.9058244,0.080483675
518,0.97618705,0.903015,0.07317203
519,0.9284767,0.8796582,0.04881847
520,-0.9980526,-0.9532057,-0.044846892
521,-0.9982744,-0.95608234,-0.042192042
522,-0.99837136,-0.959383,-0.03898835
523,-0.9986178,-0.96291745,-0.03570038
524,-0.99875236,-0.9666333,-0.032119036
525,-0.9988124,-0.9705039,-0.028308451
526,-0.9989201,-0.97437286,-0.02454722
527,-0.99896854,-0.97728443,-0.02168411
528,-0.99905616,-0.97928643,-0.019769728
529,-0.99909586,-0.9809089,-0.018186986
530,-0.99916804,-0.98255515,-0.016612887
531,-0.99916804,-0.9846444,-0.014523625
532,-0.99923193,-0.98703027,-0.012201667
533,-0.9992612,-0.98311996,-0.016141236
534,-0.99993694,-0.96774685,-0.032190084
535,-0.9999321,-0.95269215,-0.04723996
536,-0.999917,-0.9470513,-0.052865684
537,-0.9999054,-0.9467381,-0.053167284
538,-0.9988124,-0.9486443,-0.050168097
539,-0.9986178,-0.9455576,-0.053060234
540,-0.9980526,-0.9328047,-0.06524789
541,-0.99763036,-0.9131328,-0.08449757
542,-0.99681526,-0.90086305,-0.09595221
543,-0.9962406,-0.91108096,-0.08515966
544,-0.9950372,-0.9270961,-0.06794107
545,-0.9938837,-0.94039285,-0.053490877
546,-0.9931506,-0.94821453,-0.04493606
547,-0.9931506,-0.95068395,-0.04246664
548,-0.9938837,-0.95189154,-0.041992188
549,-0.9931506,-0.95645654,-0.03669405
550,-0.9938837,-0.9722903,-0.021593451
551,-0.9938837,-0.9912057,-0.0026780367
552,-0.9950372,-1.0087352,0.013697982
553,-0.9962406,-1.0185649,0.022324324
554,-0.9972678,-1.0208237,0.023555934
555,-0.99778515,-1.0178754,0.020090282
556,-0.9980526,-1.0131041,0.015051484
557,-0.99837136,-1.0071046,0.008733273
558,-0.9986178,-0.9994111,0.0007932782
559,-0.9988124,-0.986707,-0.012105405
560,-0.9989201,-0.97335315,-0.025566936
561,-0.9998745,-0.96373594,-0.036138535
562,-0.9989201,-0.951946,-0.046974063
563,-0.99886817,-0.9526738,-0.046194375
564,-0.99886817,-0.95380425,-0.045063913
565,-0.9988124,-0.9542558,-0.044556558
566,-0.9988124,-0.9545758,-0.0442366
567,-0.9988124,-0.95469713,-0.044115245
568,-0.9988124,-0.954744,-0.044068396
569,-0.9988124,-0.95460737,-0.04420501
570,-0.9988124,-0.9542185,-0.04459387
571,-0.9988124,-0.9536147,-0.045197666
572,-0.9988124,-0.9527459,-0.046066463
573,-0.9988124,-0.9516381,-0.047174275
574,-0.9988124,-0.95056367,-0.04824871
575,-0.9988124,-0.9493234,-0.04948896
576,-0.9988124,-0.9479104,-0.05090195
577,-0.9967658,-0.94754684,-0.049218953
578,-0.9967658,-0.9523264,-0.044439375
579,-0.9988124,-0.9573375,-0.04147488
580,-0.9967658,-0.9553946,-0.041371167
581,-0.9970322,-0.96075547,-0.036276758
582,-0.99896854,-0.96446955,-0.03449899
583,-0.99905616,-0.95976865,-0.039287508
584,-0.99909586,-0.95753205,-0.04156381
585,-0.99916804,-0.9578849,-0.04128313
586,-0.9992612,-0.95900714,-0.040254056
587,-0.99931484,-0.9596554,-0.03965944
588,-0.9993628,-0.95967853,-0.039684296
589,-0.99942595,-0.95900023,-0.040425718
590,-0.9994449,-0.9578258,-0.041619122
591,-0.99949646,-0.95654356,-0.042952895
592,-0.999527,-0.9556006,-0.04392636
593,-0.9995802,-0.9549078,-0.04467243
594,-0.9996035,-0.9535303,-0.0460732
595,-0.9996249,-0.9522922,-0.047332704
596,-0.999635,-0.9515374,-0.04809761
597,-0.99965394,-0.95150876,-0.048145175
598,-0.99967146,-0.95186913,-0.04780233
599,-0.9996797,-0.9525478,-0.047131896
600,-0.9996877,-0.9536295,-0.046058178
601,-0.9997167,-0.9547311,-0.044985592
602,-0.9997297,-0.95608544,-0.04364425
603,-0.9997359,-0.95755804,-0.042177856
604,-0.99999833,-0.9590162,-0.040982127
605,-0.9997638,-0.9529649,-0.046798885
606,-0.99976885,-0.9560605,-0.043708324
607,-0.99976885,-0.9598589,-0.03990996
608,-0.99976885,-0.9627218,-0.03704703
609,-0.99999994,-0.96436524,-0.035634696
610,-1.0,-0.9588084,-0.041191578
611,-1.0,-0.95644045,-0.04355955
