time_step,true_pitch_deg,pred_pitch_deg,error
281,20.79869,20.717897,0.08079338
282,19.47122,19.862389,-0.3911686
283,18.3453,18.894732,-0.54943085
284,17.215788,17.85034,-0.634552
285,14.946808,16.780027,-1.8332195
286,11.506264,15.489591,-3.983327
287,10.271916,13.726813,-3.454897
288,11.407322,11.915291,-0.5079689
289,10.284498,10.701311,-0.4168129
290,9.146926,9.625106,-0.47817993
291,9.134479,8.491775,0.642704
292,6.8543878,7.653767,-0.79937935
293,5.712179,6.758801,-1.0466218
294,4.580762,5.823087,-1.2423253
295,3.4245615,4.756144,-1.3315825
296,2.279606,3.5950136,-1.3154075
297,1.1341903,2.4958107,-1.3616204
298,1.1341903,1.4370273,-0.302837
299,-0.011456865,0.6015796,-0.61303645
300,-2.3025289,-0.22056486,-2.081964
301,-3.447496,-1.3219615,-2.1255345
302,-4.580762,-2.5235512,-2.0572107
303,-4.580762,-3.8291008,-0.75166106
304,-5.7351503,-4.994276,-0.7408743
305,-6.877384,-6.0294795,-0.8479047
306,-8.007544,-6.9199862,-1.0875573
307,-8.007544,-7.8751354,-0.13240814
308,-10.284498,-8.761605,-1.522893
309,-11.430468,-9.903788,-1.52668
310,-11.545226,-11.0383005,-0.5069256
311,-12.679085,-11.85968,-0.8194046
312,-12.689621,-14.208893,1.5192719
313,-13.831484,-15.005877,1.1743927
314,-14.970596,-15.233544,0.26294804
315,-16.106745,-15.198041,-0.9087038
316,-17.239717,-16.22925,-1.0104675
317,-18.369307,-17.198236,-1.1710701
318,-19.49531,-18.22445,-1.2708607
319,-20.823381,-19.059767,-1.7636147
320,-20.823381,-20.159145,-0.66423607
321,-21.942163,-21.135365,-0.80679893
322,-23.07681,-22.025139,-1.051672
323,-23.066803,-23.161371,0.09456825
324,-26.675602,-23.94689,-2.728712
325,-48.50134,-51.526855,3.0255165
326,-49.54359,-52.554974,3.011383
327,-51.067738,-53.58419,2.5164528
328,-52.099655,-54.715496,2.615841
329,-53.63614,-55.851185,2.215046
330,-54.65667,-57.070602,2.4139328
331,-56.203938,-58.267975,2.0640373
332,-57.212067,-59.514114,2.3020477
333,-58.768543,-60.720646,1.9521027
334,-59.76329,-61.975117,2.2118263
335,-60.336872,-63.170757,2.8338852
336,-61.32737,-64.21455,2.8871765
337,-63.877857,-65.19335,1.3154945
338,-65.45786,-66.42017,0.9623108
339,-66.41748,-67.79094,1.3734589
