time_step,true_pos_z,pred_pos_z,error
454,-0.73,-0.6959081,-0.03409189
455,-0.77,-0.7186256,-0.051374376
456,-0.79,-0.7460143,-0.043985724
457,-0.81,-0.7762832,-0.033716798
458,-0.83,-0.8098635,-0.020136476
459,-0.85,-0.8442233,-0.0057767034
460,-0.87,-0.8781292,0.0081291795
461,-0.89,-0.91056615,0.020566165
462,-0.91,-0.9412146,0.031214595
463,-0.94,-0.96946174,0.029461741
464,-0.96,-0.99754363,0.037543654
465,-0.98,-1.0247762,0.0447762
466,-1.01,-1.0506089,0.040608883
467,-1.03,-1.0772753,0.047275305
468,-1.06,-1.102654,0.042654037
469,-1.08,-1.1214409,0.041440845
470,-1.1,-1.1370177,0.037017703
471,-1.12,-1.1509714,0.030971408
472,-1.15,-1.1647186,0.014718652
473,-1.18,-1.1804938,0.0004938841
474,-1.21,-1.1981857,-0.011814356
475,-1.23,-1.2179627,-0.012037277
476,-1.25,-1.2380462,-0.011953831
477,-1.27,-1.2574208,-0.012579203
478,-1.29,-1.2758086,-0.014191389
479,-1.31,-1.2932637,-0.016736269
480,-1.33,-1.3093939,-0.02060616
481,-1.35,-1.3238909,-0.0261091
482,-1.37,-1.3368351,-0.03316486
483,-1.39,-1.349087,-0.040912986
484,-1.41,-1.3614023,-0.048597693
485,-1.42,-1.3740785,-0.045921445
486,-1.43,-1.3857274,-0.044272542
487,-1.45,-1.3962979,-0.053702116
488,-1.46,-1.4074063,-0.052593708
489,-1.48,-1.4179718,-0.06202817
490,-1.5,-1.4287682,-0.07123184
491,-1.52,-1.4501495,-0.069850445
492,-1.52,-1.4743879,-0.045612097
493,-1.53,-1.4951112,-0.034888744
494,-1.54,-1.5130255,-0.02697444
495,-1.54,-1.5291829,-0.010817051
496,-1.55,-1.541913,-0.00808692
497,-1.55,-1.5525553,0.0025553703
498,-1.56,-1.5601814,0.00018143654
499,-1.56,-1.5666242,0.006624222
500,-1.56,-1.5711477,0.0111477375
501,-1.57,-1.573369,0.0033689737
502,-1.57,-1.5760002,0.006000161
503,-1.57,-1.5777359,0.0077358484
504,-1.57,-1.5781963,0.008196235
505,-1.58,-1.5772393,-0.002760768
