time_step,true_pos_y,pred_pos_y,error
371,0.18,0.18236591,-0.002365902
372,0.18,0.18057191,-0.00057190657
373,0.18,0.17979397,0.00020603836
374,0.18,0.17961977,0.00038023293
375,0.18,0.17967655,0.0003234595
376,0.18,0.17984699,0.00015302002
377,0.18,0.17999388,6.1243773e-06
378,0.18,0.1801107,-0.000110685825
379,0.18,0.18018702,-0.00018700957
380,0.18,0.18023653,-0.00023652613
381,0.18,0.18026394,-0.00026392937
382,0.18,0.18028042,-0.00028041005
383,0.18,0.18031456,-0.0003145486
384,0.18,0.18028457,-0.00028456748
385,0.18,0.18026419,-0.0002641827
386,0.18,0.18024965,-0.00024963915
387,0.18,0.18024221,-0.00024220347
388,0.18,0.18023464,-0.00023463368
389,0.18,0.18024482,-0.00024481118
390,0.18,0.18022096,-0.00022095442
391,0.18,0.18018563,-0.00018562376
392,0.18,0.18015169,-0.00015167892
393,0.18,0.1801177,-0.00011768937
394,0.18,0.18007083,-7.082522e-05
395,0.18,0.18007308,-7.3075294e-05
396,0.18,0.18004061,-4.0605664e-05
397,0.18,0.18004489,-4.4882298e-05
398,0.18,0.18012339,-0.00012338161
399,0.18,0.18019162,-0.00019161403
400,0.18,0.18021452,-0.00021451712
401,0.18,0.18020448,-0.00020447373
402,0.18,0.18017882,-0.00017881393
403,0.18,0.18014555,-0.00014553964
404,0.18,0.18010798,-0.000107973814
405,0.18,0.18007948,-7.946789e-05
406,0.18,0.18005735,-5.733967e-05
407,0.18,0.18002696,-2.69562e-05
408,0.18,0.17999122,8.791685e-06
409,0.18,0.17995702,4.298985e-05
410,0.18,0.17992245,7.7560544e-05
411,0.18,0.17988722,0.00011278689
412,0.18,0.17986283,0.00013718009
413,0.18,0.17984249,0.00015752017
414,0.18,0.17982098,0.00017902255
415,0.18,0.17979287,0.00020714104
416,0.18,0.17980704,0.00019297004
417,0.18,0.1798081,0.00019191206
418,0.18,0.17979144,0.00020857155
419,0.18,0.17976601,0.00023399293
420,0.18,0.17972581,0.00027419627
421,0.18,0.17968644,0.00031356514
422,0.18,0.17963104,0.00036896765
423,0.18,0.17953126,0.00046874583
424,0.18,0.1794558,0.0005442053
425,0.18,0.17940229,0.0005977154
426,0.18,0.17936413,0.00063587725
427,0.18,0.17933187,0.00066813827
428,0.18,0.17930189,0.0006981194
429,0.18,0.17927395,0.0007260591
430,0.17,0.17924535,-0.009245351
431,0.17,0.17544995,-0.0054499507
432,0.17,0.17246571,-0.00246571
433,0.17,0.17084783,-0.00084783137
434,0.17,0.17015837,-0.00015836954
435,0.17,0.16999549,4.515052e-06
436,0.17,0.17008796,-8.7961555e-05
437,0.17,0.1702514,-0.0002513975
438,0.17,0.17039444,-0.00039443374
439,0.17,0.17049457,-0.00049456954
440,0.17,0.17057386,-0.0005738586
441,0.17,0.17060912,-0.00060911477
442,0.17,0.17060271,-0.00060270727
443,0.17,0.1705712,-0.0005711913
444,0.17,0.17047845,-0.00047844648
445,0.17,0.1704372,-0.00043720007
446,0.17,0.1703552,-0.00035519898
447,0.17,0.17028211,-0.00028210878
448,0.17,0.17021613,-0.00021612644
449,0.17,0.17016284,-0.00016283989
450,0.17,0.17012018,-0.000120177865
451,0.17,0.1700932,-9.319186e-05
452,0.17,0.17006184,-6.183982e-05
453,0.17,0.1700289,-2.8893352e-05
454,0.17,0.16999535,4.6491623e-06
455,0.17,0.16996334,3.6656857e-05
456,0.17,0.16992691,7.3090196e-05
457,0.17,0.16989775,0.00010225177
458,0.17,0.1698629,0.00013710558
459,0.17,0.16979796,0.00020204484
460,0.17,0.16972911,0.0002708882
461,0.17,0.16967393,0.0003260672
462,0.17,0.16962387,0.0003761351
463,0.17,0.16958883,0.00041116774
464,0.17,0.16956422,0.00043578446
465,0.17,0.16954787,0.00045213103
466,0.17,0.16953623,0.00046376884
467,0.17,0.16952556,0.00047443807
468,0.17,0.16951606,0.000483945
469,0.17,0.16954322,0.0004567802
470,0.17,0.16958353,0.00041647255
471,0.17,0.16962501,0.00037498772
472,0.17,0.16966218,0.00033782423
473,0.17,0.16968954,0.0003104657
474,0.17,0.1697098,0.0002902001
475,0.17,0.16973463,0.00026537478
476,0.17,0.16976246,0.00023753941
477,0.17,0.16979079,0.0002092123
478,0.17,0.16982076,0.00017924607
479,0.17,0.16985275,0.00014725327
480,0.17,0.16989024,0.00010976195
481,0.17,0.16993923,6.0766935e-05
482,0.17,0.17000233,-2.3245811e-06
483,0.17,0.17007178,-7.177889e-05
484,0.17,0.17013794,-0.00013794005
485,0.17,0.17019771,-0.0001977086
486,0.17,0.1702543,-0.00025430322
487,0.17,0.17030348,-0.00030347705
488,0.17,0.1703484,-0.00034840405
489,0.17,0.17039399,-0.0003939867
490,0.17,0.1704494,-0.00044940412
491,0.17,0.17044781,-0.0004478097
492,0.17,0.17043133,-0.000431329
493,0.17,0.17041332,-0.0004133135
494,0.17,0.17040673,-0.0004067272
495,0.17,0.17041722,-0.0004172176
496,0.17,0.17044623,-0.00044623017
497,0.17,0.17049232,-0.00049231946
498,0.17,0.17054877,-0.00054876506
499,0.17,0.17060415,-0.0006041527
500,0.17,0.17065689,-0.0006568879
501,0.17,0.17071724,-0.0007172376
502,0.17,0.17077637,-0.0007763654
503,0.17,0.17084014,-0.00084014237
504,0.17,0.17090464,-0.0009046346
505,0.17,0.17097647,-0.0009764731
506,0.17,0.17105436,-0.0010543615
507,0.17,0.17113572,-0.0011357218
508,0.17,0.17121482,-0.0012148172
509,0.17,0.17129415,-0.001294151
510,0.17,0.17137533,-0.0013753325
511,0.17,0.17147039,-0.001470387
512,0.18,0.17157428,0.0084257275
513,0.18,0.18086252,-0.000862509
514,0.18,0.18092822,-0.00092820823
515,0.18,0.180871,-0.0008709878
516,0.18,0.18082345,-0.00082343817
517,0.18,0.18088837,-0.0008883625
518,0.18,0.18094853,-0.0009485185
519,0.18,0.18092953,-0.00092951953
520,0.19,0.18987241,0.00012758374
521,0.19,0.18984228,0.00015771389
522,0.19,0.18982305,0.00017695129
523,0.19,0.18980888,0.0001911223
524,0.19,0.18980671,0.00019328296
525,0.19,0.18980385,0.00019614398
526,0.19,0.18980046,0.00019954145
527,0.19,0.18979305,0.00020694733
528,0.19,0.18977292,0.0002270788
529,0.19,0.18975213,0.00024786592
530,0.19,0.18973632,0.00026367605
531,0.19,0.18972607,0.00027392805
532,0.19,0.18971843,0.00028157234
533,0.19,0.18963082,0.00036917627
534,0.19,0.1894102,0.00058980286
535,0.19,0.18921198,0.0007880181
536,0.19,0.18904608,0.00095391273
537,0.19,0.18893345,0.0010665506
538,0.19,0.18887009,0.0011299103
539,0.19,0.1887133,0.0012867004
540,0.19,0.18872274,0.001277253
541,0.19,0.1888431,0.0011568964
542,0.19,0.18905461,0.00094538927
543,0.19,0.1893438,0.00065620244
544,0.19,0.18954003,0.00045996904
545,0.19,0.18963987,0.00036013126
546,0.19,0.18967803,0.0003219694
547,0.19,0.18969369,0.00030630827
548,0.19,0.18971573,0.00028426945
549,0.19,0.18975851,0.00024148822
550,0.19,0.18981557,0.00018443167
551,0.19,0.18987979,0.00012020767
552,0.19,0.1899192,8.0794096e-05
553,0.19,0.18994363,5.6371093e-05
554,0.19,0.18995395,4.6044588e-05
555,0.19,0.1899504,4.9591064e-05
556,0.19,0.1899353,6.470084e-05
557,0.19,0.18990436,9.563565e-05
558,0.19,0.18985625,0.0001437515
559,0.19,0.18976115,0.00023885071
560,0.19,0.18964888,0.00035111606
561,0.19,0.1895664,0.000433594
562,0.19,0.18954942,0.0004505813
563,0.19,0.18949978,0.0005002171
564,0.19,0.18948436,0.0005156398
565,0.19,0.18949553,0.0005044639
566,0.19,0.18951197,0.00048802793
567,0.19,0.18952577,0.00047422945
568,0.19,0.18953316,0.00046683848
569,0.19,0.18953376,0.00046624243
570,0.19,0.18953003,0.00046996772
