time_step,true_roll_deg,pred_roll_deg,error
336,2.054787,2.3120499,-0.25726295
337,2.20509,2.5711746,-0.36608458
338,2.324332,2.9250336,-0.6007016
339,2.3871267,3.3656387,-0.97851205
340,2.5332892,3.803894,-1.2706048
341,2.5332892,4.2968445,-1.7635553
342,2.702803,4.7193604,-2.0165575
343,2.7951927,5.1906967,-2.395504
344,3.0118108,5.685158,-2.673347
345,3.271654,6.2315445,-2.9598906
346,3.5890787,6.945984,-3.3569052
347,3.985583,7.8411255,-3.8555424
348,4.220421,8.981003,-4.760582
349,4.805052,10.127014,-5.3219624
350,4.805052,11.561951,-6.756899
351,5.6007752,12.709755,-7.1089797
352,6.746538,14.236649,-7.4901104
353,6.746538,16.44352,-9.696981
354,8.5364485,18.229668,-9.693219
355,11.716279,21.14888,-9.432601
356,18.841295,26.499367,-7.6580715
357,26.968536,37.922165,-10.953629
358,45.406345,54.248695,-8.84235
359,135.40634,76.76749,58.638855
360,153.83844,117.64641,36.19203
361,161.9714,153.33322,8.638184
362,169.09642,175.0951,-5.9986725
363,172.27625,183.8555,-11.579254
364,172.27625,184.98856,-12.712311
365,180.0,183.24802,-3.2480164
366,172.27625,180.18047,-7.9042206
367,172.27625,178.96269,-6.686447
368,172.27625,177.5874,-5.311157
369,172.27625,176.17899,-3.9027405
370,172.27625,173.55803,-1.281784
371,172.27625,171.70667,0.5695801
372,172.27625,171.53755,0.73869324
373,172.27625,172.46246,-0.18621826
374,174.06616,173.656,0.41015625
375,174.06616,174.73196,-0.665802
376,175.21191,175.53697,-0.32505798
377,175.21191,176.11737,-0.90545654
378,176.00764,176.63861,-0.6309662
379,176.32364,176.99457,-0.67092896
380,176.83292,177.25034,-0.41741943
381,177.22942,177.3983,-0.16888428
382,174.28941,177.4932,-3.2037811
383,177.54684,178.0079,-0.46105957
384,177.80669,177.91803,-0.111343384
385,177.92264,177.83276,0.08987427
386,178.12158,177.8542,0.26737976
387,178.29109,177.9497,0.3413849
