time_step,true_yaw_sin,pred_yaw_sin,error
430,-0.052558832,-0.06421526,0.011656426
431,-0.05121475,-0.06434193,0.013127182
432,-0.082120076,-0.064035006,-0.01808507
433,-0.082120076,-0.07143019,-0.010689884
434,-0.082120076,-0.07857709,-0.0035429895
435,-0.082120076,-0.08364533,0.001525253
436,-0.082120076,-0.08681579,0.0046957135
437,-0.082120076,-0.08864698,0.0065269023
438,-0.08036109,-0.08964448,0.009283386
439,-0.08036109,-0.087096855,0.0067357644
440,-0.08036109,-0.083744735,0.003383644
441,-0.08036109,-0.0807721,0.00041101128
442,-0.08036109,-0.07861109,-0.0017499998
443,-0.08036109,-0.07730761,-0.003053479
444,-0.0769856,-0.07669023,-0.00029537082
445,-0.0769856,-0.075573504,-0.0014120936
446,-0.0769856,-0.07475059,-0.0022350103
447,-0.0769856,-0.07419942,-0.0027861744
448,-0.075467184,-0.073838115,-0.0016290694
449,-0.04540766,-0.073201165,0.027793504
450,-0.07252398,-0.064748295,-0.0077756867
451,-0.043437224,-0.063808694,0.02037147
452,-0.07120167,-0.057319373,-0.013882294
453,-0.068612866,-0.058675017,-0.009937849
454,-0.03996804,-0.0605823,0.020614259
455,-0.065157846,-0.05449351,-0.010664336
456,-0.06413283,-0.054801896,-0.009330936
457,-0.03701166,-0.056140102,0.019128442
458,-0.045812074,-0.050230402,0.0044183284
459,-0.043851677,-0.046691388,0.0028397106
460,-0.042133577,-0.044125628,0.0019920506
461,-0.04125517,-0.04211065,0.0008554831
462,-0.03173005,-0.040649116,0.008919068
463,-0.03889456,-0.037266217,-0.001628343
464,-0.03747816,-0.03637001,-0.0011081509
465,-0.036016926,-0.03597419,-4.273653e-05
466,-0.03531365,-0.035419833,0.00010618195
467,-0.028559774,-0.034809448,0.0062496737
468,-0.027767068,-0.032534212,0.004767144
469,-0.027386984,-0.030322818,0.0029358342
470,-0.026306681,-0.028704576,0.0023978949
471,-0.025965268,-0.027362388,0.0013971198
472,-0.025308346,-0.026432853,0.0011245068
473,-0.0038788633,-0.025727628,0.021848764
474,-0.0033521706,-0.019334856,0.015982686
475,-0.0031324895,-0.01330038,0.01016789
476,-0.0029148324,-0.009098763,0.00618393
477,-0.0053963517,-0.006645524,0.0012491723
478,-0.0045435303,-0.00613698,0.0015934496
479,-0.0041215518,-0.0060670865,0.0019455347
480,-0.0036279112,-0.00608601,0.0024580988
481,-0.0028126459,-0.0060360166,0.0032233708
482,-0.0024076977,-0.0057592206,0.0033515228
483,-0.0016019202,-0.0054832064,0.0038812861
484,-0.0012005995,-0.005077269,0.0038766693
485,-0.00039988,-0.0047439844,0.0043441043
486,-1.2246469e-16,-0.0043047024,0.0043047024
487,0.00039988,-0.00399073,0.00439061
488,0.0012005995,-0.0037997747,0.0050003743
489,0.0016019202,-0.0035246736,0.0051265936
490,0.0020042048,-0.003309024,0.005313229
491,0.001406751,-0.0031946162,0.0046013673
492,0.0032192993,-0.0033826781,0.006601977
