time_step,true_pitch_deg,pred_pitch_deg,error
472,21.927454,24.87583,-2.9483757
473,20.813229,23.11551,-2.3022823
474,18.359194,21.261505,-2.9023113
475,17.229525,19.300037,-2.0705128
476,16.09647,17.398493,-1.3020229
477,14.955632,15.617342,-0.6617098
478,12.675188,13.984389,-1.3092012
479,11.531055,12.314351,-0.78329563
480,10.281405,10.696899,-0.41549397
481,8.005138,9.146323,-1.1411848
482,6.8645115,7.531065,-0.6665535
483,4.579387,5.948221,-1.368834
484,3.4353414,4.291863,-0.8565216
485,1.1454192,2.6658661,-1.5204469
486,0.0,0.9748034,-0.9748034
487,-1.1454192,-0.66576546,-0.47965378
488,-3.4353414,-2.2153034,-1.2200379
489,-4.579387,-3.8154366,-0.7639506
490,-5.7225194,-5.376069,-0.34645033
491,-8.007544,-6.8574567,-1.1500869
492,-9.1441765,-8.383587,-0.7605896
493,-10.281405,-9.872812,-0.40859318
494,-12.679085,-11.285,-1.3940849
495,-13.821037,-12.800429,-1.020608
496,-14.960237,-14.285172,-0.6750641
497,-17.229525,-15.696084,-1.5334406
498,-19.485273,-17.16836,-2.3169136
499,-20.813229,-18.737844,-2.0753841
500,-23.066803,-20.29715,-2.7696533
501,-24.186953,-21.904007,-2.2829456
502,-26.675602,-23.443054,-3.2325478
503,-27.791328,-25.038176,-2.7531528
504,-28.901705,-29.479517,0.5778122
505,-31.413757,-32.612484,1.1987267
506,-32.516758,-34.404903,1.8881454
507,-36.140453,-35.46045,-0.6800041
508,-37.22705,-36.683987,-0.5430641
509,-39.76556,-38.032043,-1.7335167
510,-40.839745,-39.639194,-1.2005501
511,-43.38481,-41.32057,-2.0642395
512,-45.939514,-43.182613,-2.7569008
513,-46.991028,-45.20764,-1.7833862
514,-48.50134,-47.141148,-1.3601913
515,-51.067738,-48.971672,-2.0960655
516,-54.65667,-50.855938,-3.8007317
517,-57.212067,-53.004154,-4.2079124
518,-58.768543,-55.307533,-3.46101
519,-59.773052,-57.53695,-2.236103
520,-61.32737,-59.410572,-1.9167976
521,-62.913647,-61.173744,-1.7399025
522,-63.889507,-62.75682,-1.1326866
523,-66.41748,-64.1167,-2.3007812
524,-68.00083,-65.68439,-2.3164444
525,-69.592575,-67.38523,-2.207344
526,-71.19211,-69.14471,-2.0474014
527,-73.65979,-70.898186,-2.7616043
528,-76.227165,-72.9725,-3.2546616
529,-77.74842,-75.29088,-2.4575424
530,-79.43392,-77.64244,-1.791481
531,-80.93264,-81.67585,0.74320984
532,-82.51787,-83.45048,0.93260956
533,-84.08866,-84.36774,0.27907562
534,-85.62557,-85.45081,-0.17475891
535,-87.07038,-86.53444,-0.5359421
536,-88.38614,-86.71942,-1.6667175
537,-87.71781,-86.22957,-1.4882431
538,-86.39226,-88.528366,2.1361084
539,-84.08866,-88.441444,4.352783
540,-80.93264,-84.91027,3.9776306
541,-79.34136,-80.10312,0.7617569
542,-76.8598,-76.65903,-0.20077515
543,-75.258,-74.53258,-0.7254257
544,-75.258,-73.41255,-1.8454514
545,-75.258,-73.26091,-1.9970932
546,-75.258,-73.821594,-1.436409
547,-74.56726,-74.752716,0.18545532
548,-73.65979,-75.526024,1.8662338
549,-73.65979,-75.92235,2.262558
550,-73.65979,-76.13397,2.4741821
551,-73.65979,-76.239784,2.5799942
552,-73.65979,-76.296196,2.636406
553,-72.74097,-76.33448,3.5935135
554,-72.06636,-76.12353,4.057167
555,-72.06636,-75.53041,3.4640503
556,-72.06636,-74.74699,2.680626
557,-70.4787,-73.96721,3.4885101
558,-67.95622,-73.011475,5.055252
559,-66.37609,-71.735535,5.3594437
560,-65.417656,-70.34836,4.930702
561,-63.84031,-69.058876,5.218567
562,-62.865784,-67.85853,4.9927444
563,-62.272602,-66.83725,4.5646477
564,-62.272602,-65.99802,3.7254143
565,-62.272602,-65.405914,3.1333122
566,-61.293026,-65.02968,3.7366524
567,-61.293026,-64.6386,3.3455772
568,-61.293026,-64.31636,3.0233345
569,-61.293026,-64.07005,2.7770271
570,-61.293026,-63.885044,2.5920181
571,-60.303333,-63.73971,3.4363785
572,-60.303333,-63.457172,3.153839
573,-59.73095,-63.155228,3.4242783
574,-59.73095,-62.770027,3.0390778
575,-59.73095,-62.411674,2.680725
576,-58.73692,-62.109306,3.372387
577,-58.73692,-61.69399,2.9570694
578,-58.73692,-61.28782,2.5508995
579,-58.73692,-60.930996,2.1940765
580,-57.18217,-60.63084,3.4486694
581,-57.18217,-60.10627,2.924099
582,-57.18217,-59.565643,2.3834724
583,-57.18217,-59.08032,1.8981476
584,-56.174656,-58.66791,2.4932556
585,-56.174656,-58.159958,1.985302
586,-56.174656,-57.672737,1.4980812
587,-56.174656,-57.24657,1.0719147
588,-56.128254,-56.881977,0.75372314
589,-54.5851,-57.024452,2.439354
590,-54.5851,-56.91847,2.3333702
591,-54.5851,-56.65762,2.0725212
592,-54.6289,-56.326534,1.6976357
593,-53.608894,-55.575,1.9661064
594,-53.608894,-54.669704,1.0608101
595,-53.608894,-53.86055,0.25165558
596,-53.608894,-53.120544,-0.4883499
597,-53.608894,-52.420998,-1.1878967
598,-52.07375,-51.76452,-0.3092308
599,-49.519333,-50.955364,1.4360313
600,-49.519333,-49.79321,0.2738762
601,-48.477486,-48.674583,0.19709778
602,-46.968243,-47.562996,0.59475327
603,-45.91709,-46.376232,0.45914078
604,-44.857677,-45.174316,0.31663895
605,-44.42303,-43.961708,-0.46132278
606,-43.363678,-42.83039,-0.53328705
607,-42.29645,-41.727192,-0.56925964
608,-40.819775,-40.616047,-0.20372772
609,-39.745872,-39.43245,-0.31342316
610,-39.75125,-38.17178,-1.5794716
611,-38.636005,-36.74512,-1.8908844
612,-37.181118,-35.80888,-1.3722382
613,-35.034946,-34.84136,-0.19358826
614,-32.505806,-33.111897,0.60609055
615,-30.2946,-31.04173,0.74713135
616,-28.892252,-28.856606,-0.03564644
617,-26.666916,-26.764313,0.09739685
618,-24.17927,-24.698923,0.5196533
619,-21.908125,-22.601185,0.6930599
620,-19.67398,-20.853498,1.1795177
621,-17.19852,-18.71498,1.5164585
622,-14.946808,-16.784458,1.8376503
623,-13.807756,-14.807721,0.9999647
624,-11.521606,-12.90803,1.3864231
625,-10.281405,-10.974706,0.69330025
626,-8.005138,-8.778988,0.7738495
627,-4.579387,-6.5272284,1.9478412
628,-2.2906094,-4.376755,2.0861459
629,0.0,-2.9585893,2.9585893
630,2.2906094,-1.6407418,3.9313512
631,4.579387,-0.03858149,4.6179686
632,6.8645115,1.9541042,4.910407
633,8.007544,4.2353854,3.7721581
634,10.284498,6.444908,3.83959
635,13.821037,8.63954,5.1814976
636,16.09647,10.995976,5.1004934
637,18.359194,13.326077,5.0331163
638,21.942163,15.617773,6.3243904
639,24.186953,17.988716,6.1982365
640,25.302427,20.382898,4.919529
641,25.554697,22.698465,2.8562317
642,26.675602,25.487238,1.188364
