time_step,true_pos_x,pred_pos_x,error
288,-0.9,-0.9050878,0.0050878525
289,-0.9,-0.907145,0.007145047
290,-0.89,-0.90818346,0.01818347
291,-0.89,-0.90739787,0.01739788
292,-0.89,-0.90611255,0.016112566
293,-0.88,-0.9048246,0.02482462
294,-0.88,-0.9025754,0.022575378
295,-0.88,-0.9001311,0.020131111
296,-0.87,-0.8978207,0.027820706
297,-0.87,-0.89470506,0.024705052
298,-0.86,-0.8914312,0.031431198
299,-0.86,-0.8873341,0.027334094
300,-0.86,-0.8834475,0.023447514
301,-0.85,-0.8799547,0.029954672
302,-0.84,-0.875685,0.035685003
303,-0.84,-0.870332,0.030332029
304,-0.83,-0.8650031,0.035003126
305,-0.83,-0.858446,0.028446019
306,-0.82,-0.8521974,0.032197416
307,-0.81,-0.84541774,0.035417736
308,-0.8,-0.8377074,0.03770739
309,-0.8,-0.82916677,0.029166758
310,-0.79,-0.82134914,0.031349123
311,-0.78,-0.81329083,0.033290863
312,-0.77,-0.8046962,0.03469622
313,-0.76,-0.7941811,0.034181118
314,-0.75,-0.78056395,0.03056395
315,-0.75,-0.7657132,0.015713215
316,-0.73,-0.75170565,0.021705627
317,-0.72,-0.73695385,0.016953826
318,-0.71,-0.7213993,0.011399329
319,-0.7,-0.70574677,0.005746782
320,-0.68,-0.69046736,0.0104673505
321,-0.67,-0.6740917,0.00409168
322,-0.65,-0.65759623,0.0075962543
323,-0.64,-0.64037037,0.00037038326
324,-0.62,-0.62359893,0.0035989285
325,-0.6,-0.60662687,0.0066268444
326,-0.58,-0.5886723,0.008672297
327,-0.56,-0.5696515,0.009651482
328,-0.54,-0.55097425,0.010974228
329,-0.52,-0.5322865,0.012286544
330,-0.49,-0.5137373,0.023737311
331,-0.47,-0.4933358,0.023335814
332,-0.45,-0.47223428,0.02223429
333,-0.42,-0.45118377,0.03118378
334,-0.4,-0.42839184,0.028391838
335,-0.38,-0.40515313,0.02515313
336,-0.32,-0.38226482,0.06226483
337,-0.29,-0.35275373,0.06275374
338,-0.27,-0.32057366,0.050573647
339,-0.24,-0.2893717,0.049371704
340,-0.22,-0.26126364,0.04126364
341,-0.19,-0.23428556,0.044285566
342,-0.16,-0.20632902,0.04632902
343,-0.14,-0.17484125,0.034841254
344,-0.11,-0.14477792,0.034777924
345,-0.09,-0.115365595,0.025365591
346,-0.05,-0.08796856,0.037968557
347,-0.02,-0.057220966,0.037220966
348,0.01,-0.014526337,0.024526337
349,0.04,0.02786389,0.012136109
350,0.07,0.06456411,0.0054358914
351,0.1,0.094141126,0.005858876
352,0.13,0.12273085,0.007269144
353,0.18,0.15271032,0.027289689
354,0.21,0.18757758,0.022422418
355,0.26,0.22426607,0.035733923
356,0.29,0.26490566,0.02509433
357,0.33,0.30763775,0.022362262
358,0.37,0.34798986,0.022010148
359,0.4,0.38893807,0.011061937
360,0.43,0.42886025,0.00113976
361,0.46,0.44994965,0.010050356
362,0.49,0.47201183,0.017988175
363,0.54,0.49999243,0.04000759
364,0.57,0.5371274,0.032872617
365,0.57,0.5783545,-0.008354485
366,0.57,0.614856,-0.044856012
367,0.57,0.64351004,-0.07351005
368,0.57,0.6641711,-0.09417111
369,0.57,0.6781076,-0.10810763
370,0.57,0.6869964,-0.11699641
371,0.57,0.6924002,-0.122400224
372,0.57,0.695545,-0.12554502
373,0.57,0.697306,-0.12730598
374,0.57,0.6982622,-0.12826222
375,1.01,0.69877005,0.31122994
376,1.04,0.7740659,0.26593405
377,1.08,0.86733305,0.21266699
378,1.12,0.955191,0.16480899
379,1.16,1.0300345,0.12996542
380,1.19,1.0922692,0.097730875
381,1.23,1.1430823,0.08691776
382,1.27,1.1867771,0.083222866
383,1.29,1.2277176,0.062282324
384,1.32,1.266697,0.053303003
385,1.34,1.3039048,0.03609526
386,1.37,1.3372248,0.032775164
387,1.4,1.3703935,0.029606462
388,1.44,1.4038225,0.036177516
389,1.47,1.438054,0.031946063
390,1.49,1.4745706,0.015429378
