time_step,true_roll_deg,pred_roll_deg,error
329,178.38646,181.29855,-2.912094
330,178.40886,181.24467,-2.8358154
331,178.43065,181.16718,-2.7365265
332,178.45184,181.0716,-2.619751
333,178.49257,180.9859,-2.493332
334,178.51213,180.91672,-2.4045868
335,178.5312,180.8353,-2.3040924
336,178.5679,180.75519,-2.1872864
337,178.60281,180.67702,-2.0742035
338,178.61964,180.57887,-1.9592285
339,177.62329,180.45993,-2.8366394
340,177.63098,181.02599,-3.3950043
341,177.63814,181.459,-3.8208618
342,177.49057,181.67361,-4.1830444
343,177.5089,180.89363,-3.384735
344,177.52664,180.17822,-2.6515808
345,177.56999,179.68112,-2.1111298
346,177.60182,179.39886,-1.7970428
347,178.76802,180.56305,-1.7950287
348,177.63152,180.85315,-3.221634
349,177.65918,180.60919,-2.9500122
350,177.70757,180.42432,-2.716751
351,177.70825,180.9935,-3.2852478
352,178.854,181.34799,-2.493988
353,177.7048,181.52713,-3.8223267
354,178.85126,181.49553,-2.6442719
355,178.84674,181.37617,-2.5294342
356,178.95837,181.2439,-2.2855225
357,178.82529,180.46341,-1.6381226
358,178.81894,180.5239,-1.704956
359,178.81535,180.63791,-1.8225555
360,178.80739,180.6687,-1.8613129
361,178.78992,181.04776,-2.257843
362,178.77994,180.34973,-1.5697937
363,178.74832,179.47562,-0.7272949
364,178.73465,178.8807,-0.14605713
365,178.73465,178.55548,0.1791687
366,178.73465,178.4063,0.32835388
367,178.73465,178.3846,0.35005188
368,178.73465,178.44589,0.28875732
369,178.73465,178.54935,0.18530273
370,178.73465,178.66248,0.07217407
371,178.73465,178.76447,-0.029815674
372,178.73465,178.84558,-0.1109314
373,178.73465,178.90411,-0.16946411
374,178.73465,178.94293,-0.20828247
375,177.20729,178.96649,-1.759201
376,176.98721,180.37152,-3.3843079
377,176.7295,181.39893,-4.6694183
378,176.82018,181.81729,-4.997116
379,176.82018,181.77765,-4.9574738
380,176.7295,181.60141,-4.8719025
381,176.7295,181.4449,-4.715393
382,174.6827,181.3356,-6.6529083
383,176.7295,181.71146,-4.981949
384,176.7295,181.36752,-4.6380157
385,176.63354,180.70494,-4.071396
386,174.38736,179.92618,-5.5388184
387,174.22899,179.3741,-5.145111
388,173.46931,178.62418,-5.1548615
389,171.57303,177.67783,-6.1047974
390,172.74504,176.31082,-3.5657806
391,172.1564,174.22798,-2.071579
392,174.80557,172.20796,2.5976105
393,173.6598,170.5999,3.059906
