time_step,true_pos_z,pred_pos_z,error
528,-1.11,-1.1350592,0.025059223
529,-1.08,-1.1095648,0.029564738
530,-1.06,-1.08392,0.02392006
531,-1.03,-1.0534905,0.023490548
532,-1.01,-0.9905313,-0.019468665
533,-0.97,-0.93284,-0.03716004
534,-0.95,-0.89223146,-0.057768524
535,-0.92,-0.8631222,-0.056877792
536,-0.89,-0.825979,-0.06402099
537,-0.86,-0.75497603,-0.10502398
538,-0.83,-0.697837,-0.13216299
539,-0.79,-0.6541438,-0.13585621
540,-0.72,-0.6284851,-0.091514945
541,-0.69,-0.6073656,-0.08263439
542,-0.66,-0.5967895,-0.06321055
543,-0.63,-0.5845722,-0.0454278
544,-0.59,-0.566746,-0.023253977
545,-0.56,-0.5412721,-0.018727899
546,-0.53,-0.51070845,-0.01929152
547,-0.5,-0.47621357,-0.023786426
548,-0.46,-0.4400236,-0.019976407
549,-0.42,-0.40277684,-0.01722315
550,-0.39,-0.36507863,-0.024921358
551,-0.34,-0.32840294,-0.011597067
552,-0.29,-0.29026413,0.00026413798
553,-0.26,-0.24986184,-0.010138154
554,-0.22,-0.21016496,-0.009835035
555,-0.19,-0.16754216,-0.022457838
556,-0.14,-0.12738287,-0.012617126
557,-0.1,-0.08689636,-0.013103642
558,-0.06,-0.04841426,-0.0115857385
559,-0.02,-0.01041308,-0.009586919
560,0.01,0.027646482,-0.017646482
561,0.06,0.06479484,-0.00479484
562,0.1,0.100630075,-0.00063007325
563,0.14,0.13860765,0.0013923496
564,0.17,0.17855355,-0.00855355
565,0.21,0.21840088,-0.008400887
566,0.25,0.25866094,-0.008660942
567,0.3,0.29889876,0.0011012554
568,0.34,0.34082732,-0.00082731247
569,0.38,0.3832879,-0.0032879114
570,0.41,0.42566693,-0.015666932
571,0.47,0.4661073,0.00389269
572,0.5,0.50850034,-0.008500338
573,0.54,0.5497727,-0.009772658
574,0.58,0.59063625,-0.01063627
575,0.62,0.6311794,-0.011179388
576,0.66,0.67151916,-0.011519134
577,0.7,0.71136713,-0.011367142
578,0.74,0.75102043,-0.011020422
579,0.78,0.7910602,-0.011060238
580,0.82,0.83111,-0.011110008
581,0.86,0.8704846,-0.010484576
582,0.91,0.90951943,0.00048059225
583,0.95,0.9504611,-0.00046110153
584,0.98,0.991781,-0.011780977
585,1.01,1.0309289,-0.02092886
586,1.05,1.0679827,-0.017982721
587,1.08,1.1043129,-0.024312854
588,1.11,1.139538,-0.029538035
589,1.15,1.1745561,-0.02455616
590,1.19,1.2091457,-0.019145608
591,1.23,1.2440119,-0.01401186
592,1.26,1.2788785,-0.01887846
593,1.3,1.3114152,-0.011415243
594,1.33,1.3432866,-0.013286591
595,1.38,1.3748856,0.005114436
596,1.42,1.4089378,0.011062145
597,1.45,1.442568,0.007432103
598,1.49,1.4748727,0.015127301
599,1.53,1.506833,0.023167014
600,1.56,1.5404488,0.019551158
601,1.6,1.5734495,0.026550531
602,1.63,1.6069119,0.023088098
603,1.66,1.639642,0.020357966
604,1.7,1.6712158,0.028784275
605,1.74,1.7035166,0.036483407
606,1.77,1.736493,0.03350699
607,1.8,1.7686679,0.031332016
608,1.83,1.8000768,0.0299232
609,1.86,1.8301827,0.029817343
610,1.89,1.8582773,0.031722665
611,1.92,1.8866143,0.033385634
612,1.95,1.9145496,0.03545046
613,2.0,1.9405988,0.059401155
614,2.02,1.9695505,0.05044949
615,2.06,1.9989983,0.06100166
616,2.08,2.0299218,0.050078154
617,2.11,2.059838,0.05016184
618,2.13,2.0889149,0.041085243
619,2.15,2.1158228,0.034177303
620,2.18,2.1382127,0.041787386
621,2.2,2.1595883,0.04041171
622,2.22,2.178412,0.041588068
