time_step,true_pos_y,pred_pos_y,error
374,0.19,0.18944137,0.00055862963
375,0.19,0.18943974,0.00056025386
376,0.19,0.1894942,0.000505805
377,0.19,0.189471,0.0005289912
378,0.19,0.18940407,0.00059592724
379,0.19,0.1893414,0.0006586015
380,0.19,0.1892965,0.0007034987
381,0.19,0.189264,0.00073599815
382,0.19,0.1892396,0.00076039135
383,0.19,0.18921727,0.0007827282
384,0.19,0.18913543,0.0008645654
385,0.19,0.1890648,0.0009351969
386,0.19,0.18901171,0.0009882897
387,0.19,0.18896738,0.0010326207
388,0.19,0.1888843,0.0011156946
389,0.19,0.1887666,0.0012333989
390,0.19,0.18862122,0.0013787746
391,0.19,0.18841907,0.0015809238
392,0.19,0.18826133,0.0017386675
393,0.19,0.18812908,0.0018709153
394,0.19,0.18805847,0.0019415319
395,0.18,0.18799649,-0.007996485
396,0.18,0.18456908,-0.0045690686
397,0.18,0.18136084,-0.0013608336
398,0.18,0.17942148,0.0005785227
399,0.18,0.17858352,0.0014164895
400,0.18,0.17872724,0.0012727678
401,0.18,0.17941225,0.0005877614
402,0.18,0.1791378,0.000862211
403,0.18,0.17842951,0.001570493
404,0.18,0.17813122,0.0018687844
405,0.18,0.1781891,0.0018109083
406,0.18,0.17840198,0.0015980303
407,0.18,0.17861275,0.0013872534
408,0.18,0.17879665,0.0012033582
409,0.18,0.17892937,0.0010706335
410,0.18,0.17899258,0.0010074228
411,0.18,0.17900527,0.0009947419
412,0.18,0.1789849,0.0010151118
413,0.18,0.1789445,0.0010555089
414,0.18,0.17902191,0.0009780973
415,0.18,0.17908758,0.0009124279
416,0.18,0.17912473,0.0008752793
417,0.18,0.17913999,0.0008600205
418,0.18,0.17913575,0.00086425245
419,0.18,0.17911775,0.00088225305
420,0.18,0.1790907,0.00090931356
421,0.18,0.1790591,0.000940904
422,0.18,0.17902039,0.0009796172
423,0.18,0.17897576,0.0010242462
424,0.18,0.17892763,0.001072377
425,0.18,0.17888005,0.0011199564
426,0.18,0.17883207,0.0011679381
427,0.18,0.17878036,0.0012196451
428,0.18,0.17872399,0.0012760162
429,0.18,0.17865902,0.0013409853
430,0.18,0.17859496,0.0014050454
431,0.18,0.17853604,0.0014639646
432,0.18,0.1784784,0.0015216023
433,0.18,0.17844127,0.001558736
434,0.18,0.17837805,0.0016219616
435,0.18,0.1783014,0.0016986132
436,0.18,0.17822446,0.0017755479
437,0.18,0.17815532,0.0018446892
438,0.17,0.17809202,-0.008092016
439,0.17,0.1748225,-0.0048224926
440,0.17,0.17200898,-0.0020089746
441,0.17,0.17026661,-0.00026661158
442,0.17,0.16936906,0.00063094497
443,0.17,0.16899851,0.0010014921
444,0.17,0.16890472,0.00109528
445,0.17,0.16893318,0.0010668188
446,0.17,0.16899335,0.001006648
447,0.17,0.16904746,0.0009525418
448,0.17,0.16908468,0.0009153187
449,0.17,0.16910754,0.00089246035
450,0.17,0.16909735,0.00090265274
451,0.17,0.16911659,0.00088341534
452,0.17,0.16910946,0.0008905381
453,0.17,0.169115,0.00088499486
454,0.17,0.16910365,0.00089634955
455,0.17,0.16907549,0.00092451274
456,0.17,0.16907786,0.00092214346
457,0.17,0.16907501,0.0009249896
458,0.17,0.16905433,0.0009456724
459,0.17,0.16904524,0.0009547621
460,0.17,0.16903706,0.00096294284
461,0.17,0.16902716,0.0009728372
462,0.17,0.16901667,0.0009833276
463,0.17,0.16901574,0.0009842664
464,0.17,0.16901872,0.0009812862
465,0.17,0.1690215,0.0009784997
466,0.17,0.16902784,0.00097216666
467,0.17,0.16903663,0.000963375
468,0.17,0.16905968,0.0009403229
469,0.17,0.16909248,0.0009075254
470,0.17,0.16912863,0.0008713752
471,0.17,0.16916856,0.0008314401
472,0.17,0.16920903,0.00079096854
473,0.17,0.16925237,0.00074763596
474,0.17,0.16930026,0.0006997436
475,0.17,0.16936173,0.00063827634
476,0.17,0.16942579,0.00057421625
477,0.17,0.16948782,0.0005121827
478,0.17,0.16953994,0.00046005845
479,0.17,0.16959158,0.00040842593
480,0.17,0.16964646,0.00035354495
481,0.17,0.16970575,0.00029425323
482,0.17,0.16977319,0.00022681057
483,0.17,0.16984457,0.00015543401
484,0.17,0.16992241,7.7590346e-05
485,0.17,0.17000344,-3.4421682e-06
486,0.17,0.1700897,-8.970499e-05
487,0.17,0.17017725,-0.00017724931
488,0.17,0.17026444,-0.000264436
489,0.17,0.17035732,-0.00035731494
490,0.17,0.17045219,-0.00045219064
491,0.17,0.1705468,-0.0005467981
492,0.17,0.17064911,-0.0006491095
493,0.17,0.17074597,-0.00074596703
494,0.17,0.17083894,-0.0008389354
495,0.17,0.17093602,-0.00093601644
496,0.17,0.17103371,-0.0010337085
497,0.17,0.1711323,-0.0011322945
498,0.17,0.17123564,-0.0012356341
499,0.17,0.17134415,-0.0013441443
500,0.17,0.17145285,-0.0014528483
501,0.17,0.17156203,-0.0015620291
502,0.17,0.17166866,-0.0016686618
503,0.18,0.17177519,0.008224815
504,0.18,0.17452739,0.0054726154
505,0.18,0.1771197,0.002880305
506,0.18,0.17877871,0.0012212992
507,0.18,0.17956042,0.00043958426
