step,time,reference_dx,reference_dy,policy_throttle,policy_steer,action_throttle,action_steer,control_throttle,control_steer,control_brake,control_reverse,control_hand_brake,predicted_delta_x,predicted_delta_y,predicted_delta_z,predicted_delta_yaw,target_yaw_step_deg,ref_x,ref_y,ref_z,ref_yaw_deg,pred_x,pred_y,pred_z,pred_yaw_deg,speed_mps,error_x,error_y,error_z,error_pos_l2,error_yaw_deg,current_loss,cumulative_mean_loss,total_loss
30,1.1198536927670983,0.04069960117340088,0.037201762199401855,0.03480623662471771,0.07757063210010529,0.03480623662471771,0.07757063210010529,0.03480623662471771,0.07757063210010529,0.0,0,0,0.021481100469827652,0.00029902294045314193,-0.0008751970017328858,0.1880367398262024,-0.18974140756765223,-58.59700393676758,23.31479263305664,0.0018781661055982113,-13.015695928333486,-60.06543731689453,23.630643844604492,0.0018719482468441129,-9.441388130187988,0.1508022173189768,-1.4684333801269531,0.31585121154785156,-6.217858754098415e-06,1.5020180940628052,3.5743077981454974,0.3224326968193054,0.12060897797346115,0.22762850733217568
31,1.1571821491926682,0.03655743598937988,0.03320169448852539,0.03480623662471771,0.34277892112731934,0.03480623662471771,0.34277892112731934,0.03480623662471771,0.34277892112731934,0.0,0,0,0.022103475406765938,0.000276652310276404,-0.0009418904664926231,0.06355320662260056,-0.17685711384444858,-58.54890823364258,23.30359649658203,0.0018781661055982113,-13.192553042177963,-60.05538558959961,23.62969970703125,0.001870117150247097,-9.409527778625488,0.23543169618415058,-1.5064773559570312,0.32610321044921875,-8.048955351114273e-06,1.5413686037063599,3.7830252635524744,0.33955883979797363,0.12745116651058197,0.2478624319618484
32,1.1945106056182382,0.03648710250854492,0.0329287052154541,0.03480623662471771,0.3190472424030304,0.03480623662471771,0.3190472424030304,0.03480623662471771,0.3190472424030304,0.0,0,0,0.019242409616708755,0.00019197115034330636,-0.0012227884726598859,-0.07206683605909348,-0.18383642065066397,-58.50107192993164,23.29230308532715,0.0018781661055982113,-13.376389462828627,-60.04678726196289,23.629364013671875,0.0018794250208884478,-9.354442596435547,0.13834812413891864,-1.54571533203125,0.33706092834472656,1.258915290236473e-06,1.5820385217666626,4.02194686639308,0.35772496461868286,0.1344291716814041,0.2524381558998932
33,1.2318390620438082,0.04045569896697998,0.03625774383544922,0.03480623662471771,0.340202271938324,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.022958233952522278,0.0002807925338856876,-0.0011198744177818298,0.049596287310123444,-0.21154436298400014,-58.4482421875,23.279638290405273,0.0018781661055982113,-13.587933825812627,-60.03727340698242,23.62883949279785,0.001875381451100111,-9.302319526672363,0.2309892145027985,-1.5890312194824219,0.3492012023925781,-2.7846544981002808e-06,1.626948595046997,4.2856142991402635,0.3783363699913025,0.14160290360450745,0.27380569058050347
34,1.269167518469378,0.0363316535949707,0.032327890396118164,0.03480623662471771,0.08316430449485779,0.03480623662471771,0.08316430449485779,0.03480623662471771,0.08316430449485779,0.0,0,0,0.019859809428453445,0.00017427232523914427,-0.001190497656352818,0.052044957876205444,-0.19856866346009383,-58.40099334716797,23.268131256103516,0.0018781661055982113,-13.78650248927272,-60.02845001220703,23.627914428710938,0.0018793487688526511,-9.284252166748047,0.1384345183974542,-1.6274566650390625,0.3597831726074219,1.1826632544398308e-06,1.6667510271072388,4.502250322524674,0.39708632230758667,0.14890241622924805,0.2819611758761835
35,1.306495974894948,0.0362544059753418,0.03203141689300537,0.03480623662471771,0.37340161204338074,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.019336586818099022,6.607791874557734e-05,-0.001057991525158286,0.06639647483825684,-0.20414617112973588,-58.35403060913086,23.256519317626953,0.0018781661055982113,-13.990648660402456,-60.018802642822266,23.6269474029541,0.0018749237060546875,-9.259655952453613,0.23146196204191063,-1.6647720336914062,0.37042808532714844,-3.2423995435237885e-06,1.7054861783981323,4.730992707948843,0.41577011346817017,0.156315416097641,0.29665765257204435
36,1.3438244313205179,0.04019010066986084,0.03523445129394531,0.03480623662471771,0.1019316241145134,0.03480623662471771,0.1019316241145134,0.03480623662471771,0.1019316241145134,0.0,0,0,0.01629313826560974,-1.3474278603098355e-05,-0.001193187665194273,-0.05071377009153366,-0.2367941588947815,-58.30219268798828,23.243492126464844,0.0018781661055982113,-14.227442819297266,-60.009822845458984,23.62601089477539,0.0018785095307976007,-9.232404708862305,0.14484922421036578,-1.7076301574707031,0.3825187683105469,3.434251993894577e-07,1.7499489784240723,4.995038110434962,0.437745600938797,0.16392163932323456,0.31149168397618865
37,1.381152887746088,0.03608560562133789,0.03138279914855957,0.03480623662471771,0.38992032408714294,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.018812697380781174,6.104473868617788e-05,-0.0011259528109803796,-0.08276670426130295,-0.2196034901338919,-58.255859375,23.23164939880371,0.0018781661055982113,-14.447046309431158,-59.99966812133789,23.625009536743164,0.001872329623438418,-9.200055122375488,0.2445806105598657,-1.7438087463378906,0.3933601379394531,-5.836482159793377e-06,1.787624478340149,5.24699118705567,0.45681384205818176,0.17162932455539703,0.3267099137385823
38,1.418481344171658,0.03600203990936279,0.03106391429901123,0.03480623662471771,0.08843527734279633,0.03480623662471771,0.08843527734279633,0.03480623662471771,0.08843527734279633,0.0,0,0,0.019400352612137794,0.00014696549624204636,-0.0013357375282794237,-0.1775054931640625,-0.22776682368032652,-58.209835052490234,23.219696044921875,0.0018781661055982113,-14.674813133111456,-59.989891052246094,23.62398910522461,0.0018746948335319757,-9.180858612060547,0.15979709565975342,-1.7800559997558594,0.4042930603027344,-3.4712720662355423e-06,1.8253909349441528,5.4939545210509095,0.4763355851173401,0.17944230139255524,0.3406658466023553
39,1.4558098005972278,0.0399022102355957,0.0341334342956543,0.03480623662471771,0.383127897977829,0.03480623662471771,0.383127897977829,0.03480623662471771,0.383127897977829,0.0,0,0,0.016421150416135788,3.5618657420855016e-05,-0.0015958283329382539,-0.18839243054389954,-0.2619495691932343,-58.1590690612793,23.20627784729004,0.0018781661055982113,-14.93676270230469,-59.97935104370117,23.62309455871582,0.001871833810582757,-9.144359588623047,0.2451218662098043,-1.820281982421875,0.41681671142578125,-6.332295015454292e-06,1.8673945665359497,5.792403113681644,0.49853113293647766,0.18741953372955322,0.3668787765221411
40,1.4931382570227978,0.03581953048706055,0.030368447303771973,0.03480623662471771,0.3003076910972595,0.03480623662471771,0.3003076910972595,0.03480623662471771,0.3003076910972595,0.0,0,0,0.017073769122362137,6.399147241609171e-05,-0.0018081332091242075,-0.19066831469535828,-0.24319125812672837,-58.11371994018555,23.19407844543457,0.0018781661055982113,-15.179953960431448,-59.97023391723633,23.622806549072266,0.0018799209501594305,-9.083477020263672,0.1525048785421603,-1.8565139770507812,0.4287281036376953,1.7548445612192154e-06,1.905374526977539,6.096476940167776,0.5190398097038269,0.19550780951976776,0.3725850533539605
41,1.5304667134483676,0.03573000431060791,0.030028223991394043,0.03480623662471771,0.3455776274204254,0.03480623662471771,0.3455776274204254,0.03480623662471771,0.3455776274204254,0.0,0,0,0.01787448301911354,0.00010949165880447254,-0.0017013520700857043,-0.14124923944473267,-0.2511428496953272,-58.068702697753906,23.181758880615234,0.0018781661055982113,-15.431096810126746,-59.96127700805664,23.62295150756836,0.0018826675368472934,-9.029644012451172,0.1928337587360384,-1.8925743103027344,0.441192626953125,4.5014312490820885e-06,1.9433188438415527,6.401452797675574,0.5399436354637146,0.20370866358280182,0.3880184418339754
42,1.5677951698739376,0.03959238529205322,0.03295731544494629,0.03480623662471771,0.2977091670036316,0.03480623662471771,0.2977091670036316,0.03480623662471771,0.2977091670036316,0.0,0,0,0.018600167706608772,0.0001466926623834297,-0.0015244507230818272,-0.06814301759004593,-0.28898988357022404,-58.019081115722656,23.16792869567871,0.0018781661055982113,-15.72008669369697,-59.953147888183594,23.623004913330078,0.0018871306674554944,-8.965922355651855,0.1424246724335513,-1.9340667724609375,0.4550762176513672,8.964561857283115e-06,1.9868841171264648,6.754164338045115,0.564454972743988,0.2120981216430664,0.40630359040078456
43,1.6051236262995077,0.035533905029296875,0.029287338256835938,0.03480623662471771,0.315914124250412,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.017274435609579086,5.714788130717352e-05,-0.001356235472485423,0.14953403174877167,-0.268845324087863,-57.97478485107422,23.15534782409668,0.0018781661055982113,-15.988932017784862,-59.9442138671875,23.62259864807129,0.0018806075677275658,-8.93287181854248,0.2040451847648128,-1.9694290161132812,0.4672508239746094,2.441462129354477e-06,2.0240983963012695,7.056060199242381,0.5858237147331238,0.22059188783168793,0.42825841827913247
